"Index","open","high","low","close","volume"
2013-11-11,17.3,17.4,17.02,17.4,7547000
2013-11-12,17.3,17.37,16.76,17.06,11572700
2013-11-13,17.09,17.19,16.83,17.03,6328500
2013-11-14,17.25,17.5,17.05,17.47,14056600
2013-11-18,17.33,17.65,17.31,17.65,10857900
2013-11-19,17.6,17.8,17.03,17.37,9985100
2013-11-21,17.25,17.42,17.15,17.27,7522100
2013-11-22,17.25,17.6,17.16,17.46,6109400
2013-11-25,17.49,17.59,17.05,17.39,6088500
2013-11-26,17.25,17.6,17.2,17.6,10858500
2013-11-27,17.59,17.7,17.23,17.57,6081600
2013-11-28,17.64,17.64,17.33,17.46,3764400
2013-11-29,17.46,17.69,17.37,17.56,5408400
2013-12-02,17.4,17.73,17.37,17.51,9394700
2013-12-03,17.43,17.49,16.85,17.16,12956400
2013-12-04,17.25,17.36,16.6,16.6,23923700
2013-12-05,16.83,17.04,16.6,16.85,10741700
2013-12-06,17.02,17.09,16.71,16.74,9004800
2013-12-09,16.84,17,16.64,16.99,12360400
2013-12-10,16.95,17.04,16.65,16.8,6006700
2013-12-11,16.8,17.01,16.71,16.87,5106200
2013-12-12,16.85,16.93,16.53,16.6,6630100
2013-12-13,16.7,16.78,16.31,16.41,5949400
2013-12-16,16.39,16.66,16.22,16.51,7405500
2013-12-17,16.56,16.68,16.27,16.5,6671500
2013-12-18,16.59,16.88,16.56,16.7,10423500
2013-12-19,17,17.04,16.66,17.03,7432100
2013-12-20,17,17.04,16.82,16.95,6232300
2013-12-23,17,17.19,16.95,17.07,4834300
2013-12-26,17,17.13,16.94,16.94,3559000
2013-12-27,17,17.22,16.94,17.1,5211700
2013-12-30,17.2,17.39,17.05,17.32,3833300
2014-01-02,17.3,17.5,17.18,17.39,8011000
2014-01-03,17.41,17.44,16.9,16.9,24766000
2014-01-06,16.95,17.09,16.55,16.8,9328400
2014-01-07,17.04,17.4,16.94,17.33,18665300
2014-01-08,17.35,17.57,17.24,17.5,11367000
2014-01-09,17.46,17.49,17.01,17.09,8787000
2014-01-10,17.1,17.23,16.89,17.2,13781500
2014-01-13,17.18,17.27,17.03,17.04,5050800
2014-01-14,17.03,17.32,16.96,17.25,7095200
2014-01-15,17.12,17.2,16.92,17,6145200
2014-01-16,17.02,17.12,16.74,16.78,5800100
2014-01-17,16.82,16.86,16.6,16.64,4752000
2014-01-20,16.63,16.8,16.57,16.7,2751800
2014-01-21,16.77,17.13,16.67,16.9,7026100
2014-01-22,17.01,17.16,16.92,17.14,12101900
2014-01-23,17,17.24,16.55,16.55,15352600
2014-01-24,16.72,16.75,16.1,16.43,13478000
2014-01-27,16.44,16.59,16.04,16.04,7496000
2014-01-28,16.3,16.51,16.1,16.1,10879500
2014-01-29,16.15,16.48,15.82,16.05,10453600
2014-01-30,16.06,16.15,15.66,15.87,7515000
2014-01-31,15.76,16.19,15.5,16.09,13132100
2014-02-03,15.93,16.15,15.41,15.5,13735500
2014-02-04,15.6,15.68,15.27,15.57,9213300
2014-02-05,15.55,15.59,15.15,15.44,11609700
2014-02-06,15.49,16.25,15.38,16.17,13416200
2014-02-07,16.08,16.4,15.92,16.39,7403000
2014-02-10,16.23,16.35,15.96,16.14,5289900
2014-02-11,16.24,16.64,16.16,16.6,7878800
2014-02-12,16.6,16.65,16.15,16.15,9601900
2014-02-13,16.01,16.33,15.75,16.33,9117800
2014-02-14,16.37,16.71,16.32,16.68,12796500
2014-02-17,16.67,16.75,16.54,16.56,3887900
2014-02-18,16.43,16.58,16.15,16.15,9265900
2014-02-19,16,16.34,15.9,16.34,7056200
2014-02-20,16.29,16.76,16.06,16.53,6779500
2014-02-21,16.5,16.86,16.38,16.58,6901800
2014-02-24,16.57,16.78,16.36,16.6,5287700
2014-02-25,16.46,16.84,16.38,16.6,6888600
2014-02-26,16.87,16.99,16.7,16.78,8058300
2014-02-27,16.77,16.99,16.66,16.89,6766000
2014-02-28,16.9,17.03,16.65,16.88,13347100
2014-03-05,16.79,16.99,16.5,16.8,8477300
2014-03-06,16.86,17.01,16.72,16.87,7500800
2014-03-07,16.89,16.98,16.68,16.76,11858900
2014-03-10,16.74,16.76,16.43,16.69,11176500
2014-03-11,16.69,16.89,16.5,16.7,7977600
2014-03-12,16.6,16.73,16.53,16.72,7624500
2014-03-13,16.79,16.81,16.42,16.6,11617900
2014-03-14,16.59,16.59,16.36,16.36,7876200
2014-03-17,16.45,16.69,16.27,16.67,7592400
2014-03-18,16.64,16.81,16.61,16.79,10797000
2014-03-19,16.6,16.85,16.45,16.77,10131200
2014-03-20,16.68,16.81,16.56,16.76,8908400
2014-03-21,16.63,17.14,16.63,16.66,13422300
2014-03-24,16.73,16.82,16.64,16.76,8774500
2014-03-25,16.87,16.89,16.61,16.74,6953700
2014-03-26,16.81,16.86,16.6,16.65,9429300
2014-03-27,16.71,17.05,16.7,17.05,14037200
2014-03-28,17.02,17.15,16.89,16.95,9562300
2014-03-31,17,17.08,16.84,16.95,12152800
2014-04-01,16.91,17.1,16.8,17.1,8456900
2014-04-02,17.13,17.4,17.01,17.3,10001400
2014-04-03,17.2,17.38,17.03,17.18,11105300
2014-04-04,17.34,17.4,16.85,16.9,13662200
2014-04-07,17.11,17.14,16.81,16.9,13242800
2014-04-08,17.05,17.05,16.68,16.82,17892400
2014-04-09,16.78,16.93,16.62,16.8,8181000
2014-04-10,16.78,16.98,16.74,16.98,11258900
2014-04-11,16.89,17.4,16.77,17.4,9640300
2014-04-14,17.38,17.47,17.19,17.37,5698900
2014-04-15,17.2,17.34,16.95,17.34,8347200
2014-04-16,17.34,17.49,17.2,17.49,12174300
2014-04-17,17.48,17.56,17.3,17.39,10654200
2014-04-22,17.34,17.84,17.33,17.84,10885400
2014-04-23,17.79,17.79,17.52,17.63,6273200
2014-04-24,17.69,17.7,17.21,17.4,8664900
2014-04-25,17.37,17.44,17.11,17.27,7585100
2014-04-28,17.18,17.37,17.15,17.24,8414700
2014-04-29,17.4,17.45,17.12,17.16,10039500
2014-04-30,16.6,16.7,16.18,16.3,39124500
2014-05-02,16.2,16.38,15.95,16.01,34124500
2014-05-05,16.12,16.59,16.02,16.5,15801700
2014-05-06,16.52,16.72,16.29,16.65,15107400
2014-05-07,16.6,16.62,16.13,16.3,13842300
2014-05-08,16.32,16.47,16.22,16.3,8708300
2014-05-09,16.3,16.58,16.2,16.53,11118400
2014-05-12,16.62,16.71,16.52,16.68,7264900
2014-05-13,16.66,17.03,16.46,16.6,16782100
2014-05-14,16.67,16.8,16.58,16.7,7468600
2014-05-15,16.6,16.65,16.39,16.5,4994300
2014-05-16,16.54,16.67,16.33,16.55,8085100
2014-05-19,16.58,16.58,16.3,16.49,7715500
2014-05-20,16.42,16.7,16.25,16.3,10321600
2014-05-21,16.34,16.53,16.25,16.5,10919000
2014-05-22,16.44,16.71,16.44,16.71,7596500
2014-05-23,16.66,16.68,16.54,16.58,3834500
2014-05-26,16.65,16.67,16.47,16.65,3502400
2014-05-27,16.68,16.68,16.05,16.12,11292900
2014-05-28,16.19,16.25,16,16.15,8311400
2014-05-29,16.2,16.23,16.03,16.15,5239800
2014-05-30,16.06,16.22,15.86,15.86,14074900
