"Index","open","high","low","close","volume"
2010-10-25,2.3,2.3,2.3,2.3,0
2010-10-29,2.3,2.3,2.3,2.3,0
2010-11-05,2.3,2.3,2.3,2.3,0
2010-11-09,2.5,2.5,2.5,2.5,0
2010-11-19,2.5,2.5,2.5,2.5,0
2010-11-22,2.5,2.5,2.5,2.5,0
2010-11-24,2.5,2.5,2.5,2.5,0
2010-11-26,2.5,2.5,2.5,2.5,0
2010-12-01,2.75,2.75,2.75,2.75,0
2010-12-02,2.78,2.78,2.78,2.78,1000
2010-12-03,2.9,2.9,2.9,2.9,0
2010-12-06,2.9,2.9,2.9,2.9,0
2010-12-07,3,3,3,3,0
2010-12-08,3,3,3,3,300
2010-12-09,3.03,3.03,3.03,3.03,0
2010-12-10,3.02,3.02,3.02,3.02,0
2010-12-13,4.02,6,4.02,6,2100
2010-12-14,5.99,5.99,5.99,5.99,100
2010-12-16,4.03,4.03,4.03,4.03,0
2010-12-17,4.02,4.02,4.02,4.02,0
2010-12-20,4.1,4.1,4.1,4.1,0
2010-12-22,5.1,5.1,4.9,4.9,200
2010-12-27,5.01,5.02,5.01,5.01,500
2010-12-28,5.21,5.21,5.2,5.2,200
2010-12-29,5.02,5.02,5.02,5.02,0
2010-12-30,5.01,5.01,5.01,5.01,0
2011-01-04,5.05,5.05,5.05,5.05,0
2011-01-06,5.97,5.97,5.97,5.97,200
2011-01-07,5.07,5.07,5.07,5.07,1200
2011-01-10,5.01,5.01,5.01,5.01,0
2011-01-11,4.82,4.82,4.82,4.82,300
2011-01-12,5.17,5.17,5.17,5.17,300
2011-01-17,4.9,4.9,4.9,4.9,200
2011-01-18,4.45,4.45,4.45,4.45,3400
2011-01-19,4.45,4.45,4.45,4.45,1000
2011-01-20,4.5,4.5,4.5,4.5,100
2011-01-21,4.6,4.6,4.6,4.6,3000
2011-01-24,4.45,4.45,4.45,4.45,0
2011-01-27,4.11,4.11,4.11,4.11,0
2011-02-01,4.22,4.22,4.22,4.22,0
2011-02-02,4.35,4.35,4.2,4.2,7800
2011-02-03,4.34,4.34,4.34,4.34,100
2011-02-07,4.33,4.33,4.33,4.33,100
2011-02-08,4.2,4.2,4.2,4.2,0
2011-02-09,4.11,4.11,4.11,4.11,0
2011-02-11,4.11,4.11,4.11,4.11,0
2011-02-14,4.34,4.34,4.3,4.3,200
2011-02-15,4.34,4.34,4.34,4.34,100
2011-02-16,4.35,4.35,4.35,4.35,400
2011-02-17,4.31,4.31,4.31,4.31,0
2011-02-18,4.31,4.31,4.31,4.31,0
2011-02-21,4.3,4.3,4.3,4.3,0
2011-02-22,4.35,4.35,4.35,4.35,100
2011-02-23,4.35,4.35,4.35,4.35,100
2011-02-24,4.11,4.11,4.11,4.11,0
2011-02-25,4.3,4.3,4.3,4.3,0
2011-02-28,3.91,3.91,3.91,3.91,0
2011-03-02,4.3,4.3,4.3,4.3,0
2011-03-04,2.5,2.5,2.5,2.5,0
2011-03-09,4.3,4.3,4.3,4.3,0
2011-03-10,3.2,3.2,3.2,3.2,0
2011-03-14,4.3,4.3,4.3,4.3,0
2011-03-16,4.3,4.3,4.3,4.3,0
2011-03-22,3.89,3.89,3.89,3.89,100
2011-03-25,3.51,3.51,3.51,3.51,0
2011-03-28,3.58,3.58,3.55,3.55,1600
2011-03-29,3.14,3.14,3.14,3.14,0
2011-03-30,3.12,3.12,3.12,3.12,0
2011-03-31,3.3,3.3,3.3,3.3,0
2011-04-01,3.21,3.21,3.21,3.21,3400
2011-04-04,3.9,3.9,3.9,3.9,600
2011-04-05,3.95,3.95,3.95,3.95,0
2011-04-06,4,4,4,4,0
2011-04-07,4.2,5.78,4.2,5.78,400
2011-04-08,4,4,4,4,0
2011-04-11,4,4,4,4,0
2011-04-13,3.9,3.9,3.9,3.9,0
2011-04-18,3.9,3.9,3.9,3.9,0
2011-04-20,4,4,4,4,0
2011-04-26,4,4,4,4,0
2011-04-28,4,4,4,4,0
2011-04-29,4,4,4,4,0
2011-05-02,3.51,3.51,3.51,3.51,0
2011-05-03,3.51,3.51,3.51,3.51,0
2011-05-04,4.72,4.72,4.71,4.71,300
2011-05-05,3.51,3.51,3.51,3.51,0
2011-05-11,3.8,4,3.8,4,900
2011-05-12,3.85,3.85,3.85,3.85,0
2011-05-13,3.75,3.75,3.75,3.75,0
2011-05-16,4,4,4,4,0
2011-05-17,4,4,4,4,0
2011-05-20,4,4,4,4,0
2011-05-24,4,4,4,4,0
2011-05-25,4,4,4,4,2400
2011-05-26,4.01,4.01,4.01,4.01,0
2011-05-27,4.18,4.2,4.17,4.17,400
2011-05-30,4,4,4,4,700
2011-06-01,4,4,4,4,0
2011-06-02,4,4,4,4,100
2011-06-03,4,4,4,4,200
2011-06-06,4,4,4,4,0
2011-06-07,4,4,4,4,100
